@relation protocol_detection
@attribute protocol-name {ssh,http,mysql,unknown}
@attribute src string
@attribute sport string
@attribute dst string
@attribute dport string
@attribute proto string
@attribute flags string
@attribute average_len numeric
@attribute pkt_count numeric
@attribute flow_average_inter_arrival_time numeric
@data
http,66.249.75.171,38952,89.22.96.128,80,6,S|SA|A|PA|A|A|PA|A|A|FA|FA|A,283,12,0.0395
mysql,89.22.96.128,50820,89.22.96.129,3306,6,S|SA|A|PA|A|PA|A|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|FA|FA|A,188,28,0.0109
ssh,188.64.44.150,52768,188.64.44.131,22,6,S|A|A|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|PA|A|PA|A|PA|FA|A,161,25,0.0054
http,5.135.179.227,60985,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FPA|A|A|A|FA|A|FA|A,643,23,0.0072
http,5.135.179.227,52855,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|FA|A,606,20,0.01
http,91.121.176.101,52341,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,517,17,0.0044
ssh,89.22.96.128,34376,195.5.120.11,22,6,S|SA|A|PA|A|PA|A|PA|PA|A|A|PA|A|PA|A|PA|PA|A|PA|A|PA|A|PA|A|PA|PA|PA|A|PA|FA|FA|A,156,32,0.0212
http,91.232.96.16,54685,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,581,16,0.0068
http,91.232.96.14,49280,89.22.96.128,80,6,S|SA|S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,500,19,0.0048
http,66.249.78.36,38655,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,392,16,0.0169
http,89.22.96.128,34408,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,164,12,0.0074
http,91.232.96.16,47636,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A,621,18,0.013
http,65.55.55.230,12944,89.22.96.128,80,6,SEC|SAE|A|PA|A|A|A|PA|A|FA|FA|A,395,12,0.025
http,91.232.96.16,56641,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,591,16,0.0043
http,91.232.96.13,34049,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,515,18,0.0059
http,66.249.75.171,57235,89.22.96.128,80,6,S|SA|A|PA|A|A|PA|A|A|FA|FA|A,275,12,0.0075
ssh,188.64.44.162,58686,188.64.44.131,22,6,S|A|A|FA,54,4,0.0006
http,91.232.96.13,52171,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,521,18,0.0094
http,91.232.96.16,46471,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,547,20,0.0203
http,89.22.96.128,59548,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|A|PA|A|FA|FA|A,397,15,0.0096
